Term,Component,Class Status,Subject,Categories,Catalog,Reports Details » Course Catalog::CICS_TitleAbbrevRequest,Reports Details » TermCourseDescriptions::semesterNotes,Class Status,CICScapacity,CICSsavedSeats,Section,Class Nbr,zc.days,Mtg Time,Location,InstructorPrint,Enrl Capacity,Min Units,Max Units
1237,LEC,Active,CICS,Social Math,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,20,3,01,76448,Tue Thu ,11:30 AM - 12:45 PM,LGRC A310,Mei,17,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,4,1,02,76449,Tue Thu ,11:30 AM - 12:45 PM,LGRC A310,Mei,3,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,20,3,03,76450,Tue Thu ,10:00 AM - 11:15 AM,LGRC A310,Trim,17,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,4,1,04,76451,Tue Thu ,10:00 AM - 11:15 AM,LGRC A310,Trim,3,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,20,3,05,76452,Mon Wed ,02:30 PM - 03:45 PM,LGRC A310,Obara,17,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,4,1,06,76453,Mon Wed ,02:30 PM - 03:45 PM,LGRC A310,Obara,3,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,20,3,07,76454,Mon Wed ,04:00 PM - 05:15 PM,LGRC A310,Obara,17,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,4,1,08,76455,Mon Wed ,04:00 PM - 05:15 PM,LGRC A310,Obara,3,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,20,3,09,76456,Tue Thu ,04:00 PM - 05:15 PM,LGRC A310,Butler,17,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,4,1,10,76457,Tue Thu ,04:00 PM - 05:15 PM,LGRC A310,Butler,3,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,20,3,11,76464,Mon Wed ,01:00 PM - 02:15 PM,LGRC A310,Mei,17,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,4,1,12,76465,Mon Wed ,01:00 PM - 02:15 PM,LGRC A310,Mei,3,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,20,3,13,76466,Tue Thu ,01:00 PM - 02:15 PM,LGRC A310,Mei,17,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,4,1,14,76467,Tue Thu ,01:00 PM - 02:15 PM,LGRC A310,Mei,3,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,20,3,15,76468,Tue Thu ,02:30 PM - 03:45 PM,LGRC A310,Butler,17,3,3
1237,LEC,Active,CICS,Social,305,SOC ISS IN CMPTNG,Odd=CS; Even=INFORM,Active,4,1,16,83895,Tue Thu ,05:30 PM - 06:45 PM,LGRC A310,Butler,3,3,3
